epoch,train_loss,val_loss,val_dsc,val_iou,lr
1,0.27607,0.20489,0.8988,0.8176,0.001000
2,0.08692,0.05617,0.9754,0.9520,0.000997
3,0.03913,0.02680,0.9796,0.9601,0.000989
4,0.02423,0.02022,0.9826,0.9657,0.000976
5,0.01848,0.01609,0.9845,0.9694,0.000957
6,0.01616,0.01725,0.9786,0.9582,0.000933
7,0.01457,0.01307,0.9846,0.9697,0.000905
8,0.01314,0.01220,0.9855,0.9714,0.000872
9,0.01211,0.01064,0.9867,0.9738,0.000835
10,0.01169,0.01001,0.9868,0.9740,0.000794
11,0.01136,0.00999,0.9866,0.9736,0.000750
12,0.01063,0.01083,0.9854,0.9712,0.000704
13,0.01002,0.00864,0.9889,0.9780,0.000655
14,0.00943,0.00824,0.9892,0.9786,0.000604
15,0.00889,0.00893,0.9878,0.9759,0.000553
16,0.00917,0.01172,0.9819,0.9645,0.000501
17,0.00859,0.00739,0.9901,0.9804,0.000448
18,0.00801,0.00707,0.9908,0.9818,0.000397
19,0.00787,0.00722,0.9902,0.9806,0.000346
20,0.00815,0.00822,0.9878,0.9759,0.000297
21,0.00767,0.00693,0.9906,0.9814,0.000251
22,0.00754,0.00661,0.9910,0.9822,0.000207
23,0.00733,0.00639,0.9911,0.9824,0.000166
24,0.00698,0.00619,0.9917,0.9835,0.000129
25,0.00683,0.00640,0.9913,0.9827,0.000096
26,0.00697,0.00613,0.9918,0.9838,0.000068
27,0.00687,0.00599,0.9918,0.9838,0.000044
28,0.00676,0.00597,0.9919,0.9840,0.000025
29,0.00670,0.00599,0.9919,0.9840,0.000012
30,0.00682,0.00596,0.9919,0.9839,0.000004
